arg_id,Argument,Concern1
Depth1_44,A degree is important for a lot of careers and the idea of these costs will put a lot of students off studying to degree level.,career
Depth1_68,"For many young people, studying is the only way to achieve decent living conditions in the future. You may think about a slightly smaller fee or one that will be paid after graduation and finding the right job.",career
Depth1_5,better education for everyone leads to a better country with high paying and more successful jobs etc,career
Depth1_60,Fee free education will encourage more diversity in the student population and later in the workplace.,free
Depth1_1,"education should be free as well as health services , it should be a human right",free
Depth1_18,"It places a big financial burden onto the student, because they rarely have the money readily available.",student_finance
Depth1_23,It forces prospective students to take on significant debt. this will be a heavy burden to non-stem students who are likely to earn less than their counterparts.,student_finance
Depth1_73,living as a student is difficult enough just getting by with little side jobs . if a fee then has to be paid as well the students who are not so fortunate run the risk of ending up with huge debts .,student_finance
Depth1_73,living as a student is difficult enough just getting by with little side jobs . if a fee then has to be paid as well the students who are not so fortunate run the risk of ending up with huge debts .,career
Depth1_17,"the amount asked to be paid by the students is very high and most of them might need to take a student loan to continue their studies , placing them in debt even before they start to work .",student_finance
Depth1_11,"Education should be available for everyone , not for only ones who can afford it.",acc_aff
Depth1_6,"they are too high. not everyone can afford such an expense, therefore, knowledge is available for certain privileged groups only.",acc_aff
Depth1_9,9k fees maintain social injustices for those who can afford higher education and thus should be abolished in order to fight social inequality.,acc_aff
Depth1_53,"Higher education at bachelor-master level should be still widely accessible, and such a high fee certainly does not make it accessible.",acc_aff
Depth1_66,Education is essential to better civilisation and should be accessible by all those who desire to learn,acc_aff
Depth1_4,"everyone should have access to a free university education , regardless of their economic capacity",free
Depth3_11,"This entirely depends on the industry and type of job. For a job that requires a degree, work ethics and experience will not be enough.",career
Depth1_4,"everyone should have access to a free university education , regardless of their economic capacity",acc_aff
Depth3_21,A degree is important not only only for the better job perspectives but also for self confidence. The employer would hire someone with the High job ethics and experience AND the academic knowledge will  ,career
Depth3_31,With a degree you are able to expand on this work experience and if you have the opportunity to study for a degree and further your education you will stand a better chance when competing for jobs,career
Depth3_12,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.,gov_finance
Depth3_22,More likely to get jobs that earn decent wages and start contributing via Tax and ni,gov_finance
Depth3_12,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.,free
Depth3_32,"In Scotland, tertiary education is free, and nobody complains about how it is funded. ",free
Depth3_13,The student loan interest rates are quite high and students end up repaying much more than they initially borrowed. ,student_finance
Depth3_23,"It's ridiculous to saddle young people with lifelong debt because they want to be educated. Education should not see employment (and the ability to repay a loan) as the end goal, but rather as a human right. ",student_finance
Depth3_22,More likely to get jobs that earn decent wages and start contributing via Tax and ni,career
Depth3_33,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent.",gov_finance
Depth3_14,"Every job is becoming more and more specialized, further education does not produce only doctors and engineers, it also trains minds",career
Depth3_24,But why should somebody's background stop them from pursuing any career. A poor person can be just as good a medic as a rich person. ,acc_aff
Depth3_15,"Of course Universities need financial support too, it is a Government affair and support. When individuals decide to go to University, they hope to get high paid jobs,",gov_finance
Depth3_33,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent.",student_finance
Depth3_25,The prospect of having to pay back a loan once a certain level of income is reached may put young people off applying for jobs which will lead to a well paid career. ,student_finance
Depth3_16,Taking out a loan is not something that students should have to do to go to university as there is no guarantee they will be able to pay it off afterwards.,student_finance
Depth3_26,Burdening students with a large amount of debt is bad for personal finances across the country and bad for the economy in the long term.,student_finance
Depth3_34,the problem is that there isn't an equal opportunity to finance education through student loans. Those in less fortunate financial situations will still be far less inclined to take out loans.,student_finance
Depth3_41,There is equal opportunity but not always equal ability. Those from less privileged backgrounds might not be educated to know about funding or their parents might not be able to complete the application forms to get the students the means based funding.,acc_aff
Depth3_51,Many teenagers whose parents did not go to uni and never took a loan might be talked out by their parents,student_finance
Depth3_35,Students who have only just become legal adults should not have to take out a loan or get themselves into debt just to go to university as it is likely that at that age they will not understand the consequences of a loan.,student_finance
Depth3_42,"Students could find themselves deliberately only accepting low paid jobs, in order to avoid paying back the loan. If money is tight and their salary only just means they have to repay the loan, that might be a debt too far. ",career
Depth3_52,"Student loans only cover so much and only start after studying, you still need to put up a not insignificant amount of money to get going. And paying back the loans amounts to, in effect, a 9% tax on graduates.",gov_finance
Depth3_36,The more people in society from less privileged backgrounds who are able to attend university is good for society and therefore desirable.,acc_aff
Depth3_43,University was free for a long time as it was generally accepted to be a worthy investment in the country's future. Graduates free of debt have more income to place back into the economy.,student_finance
Depth3_53,"The government are still paying for the loans and probably won't see the money back when the loans are written off in 30 years time. Cheaper education and higher taxes is more sustainable than relying on students to pay back the loans, which they won't.",gov_finance
Depth3_44,Some people get in debt whilst at uni as they are unable to survive living costs due to low student low and drop out without completing their course,student_finance
Depth3_54,Yes but that is because there are more universities and more people than in the past. people also have more personal debt than ever before,student_finance
Depth3_45,"Some students will never afford to pay back the loans, as a lot of degrees do not result in a high paying job at the end.",acc_aff
Depth3_46,People most of the time dont pay it back fully and the interest is too high to make a reasonable dent so it is also hurting government funding,gov_finance
Depth3_55,Many students have issues taking out loans and just don't have the money to pay the extortionate fees. ,student_finance
Depth3_61,Young people from poorer backgrounds may have less financial backing and are unable to take on the large cost of doing a degree,acc_aff
Depth3_56,Even students loans are difficult to pay back not everyone gets a good paid job ,student_finance
Depth3_71,People shouldn't feel they can't apply for better paid jobs because they're afraid of having to pay back a huge debt. ,career
Depth3_91,The large interest rates associated with student loans mean that students will be paying loans back their entire working life,student_finance
Depth3_62,Students should be able to focus on their university course without worrying about having to pay back a student loan. ,student_finance
Depth3_72,Interest is added on and this added debt until you earn a certain amount still puts pressure on young people ,student_finance
Depth3_81,Other countries like Germany someone manage to have a fair tax system and free and excellent education,gov_finance
Depth3_63,Some families are from a poor background and would struggle to pay the university fees or get a loan. ,student_finance
Depth3_64,The government could cut down on prestige projects and arms and invest them into higher education instead,gov_finance
Depth3_73,"Everyone in society benefits from education- the social benefits of having trained doctors, teachers etc far out weights the cost of taxes. ",gov_finance
Depth3_82,A lot of universities make profit too. Those profits could be used to lower the fees. The government would not have to fund everything,gov_finance
Depth3_65,"There are countries where university is entirely free. 9k is a high amount, not to mention the interest rate on the student loans. Universities, even if not free, should be at least cheaper",student_finance
Depth3_74,"There is no guarantee that you will get a job after your degree. The student loan does take a significant percentage from your monthly wage slip, which doesn't seem fair.",student_finance
Depth3_83,As far as I understand you only have to pay back the money if you earn over a certain amount so ppl who cannot afford it are not expected to. ,acc_aff
Depth3_66,Unfortunately apprenticeships aren't viable for everyone as they need to be able to afford to live and they pay less than it costs to live,acc_aff
Depth3_75,The interest rates are high and puts pressure on the student to find a highly paid job as fast as possible after graduating. ,student_finance
Depth3_84,Prospective students who have family relying on them to be the main provider often cannot afford to take out a loan and can find it difficult to find a job that can support both their education and other needs and responsibilities.  ,acc_aff
Depth3_92,"Firstly it is very hard to juggle having a full time education with a job, and these loans have high interests rates which is essentially exploiting these kids because they don't typically have any other options.   ",student_finance
Depth3_76,"So if people had bad credit scores, or didn't have the ability to access this loan, this would basically affect their chance to get a well paid job? ",student_finance
Depth3_85,Free education would offer more opportunities to underprivileged and increase the quality of life and services. More competition would cause more ambitions to learn.,free
Depth3_93,Some people would not be able to access university due to their financial circumstances.,acc_aff
Depth3_101,"On the other hand it would enrich many peoples lives, many people who go on to have poorly paid jobs and bad life choices would be able to avoid that completely. ",career
Depth3_86,It's unfair to treat students differently by means testing whether or not they should repay their loans without any assistance.,student_finance
Depth3_94,They must know and be given sufficient advice and possible job opportunities before starting their degree,career
Depth3_102,"It should have nothing to do with earnings, debt is debt and no one should be made to enter it just for education ",student_finance
Depth3_95,Not every student will be in a financial position to pay it back and will have the burden of a loan hanging over them well into adulthood,student_finance
Depth3_103,Everyone can't afford loans and end up defaulting on the loan or pay it back over an extreme amount of time as they didn't get the job they thought they'd get,acc_aff
Depth3_111,Some people would not be able to access these student loans and again this gets them into debt. ,student_finance
Depth3_96,There may be more exceptional students than there are student_finance opportunities and so capable students will miss out because of the competition for funding,student_finance
Depth3_104,"Why should only rich people have access to this education, this is putting a big divide in society ",acc_aff
Depth3_105,"Yes I do agree, however I feel that possibly you pay and then if you get a job in that specialised area, you perhaps get a portion of your student fees wiped. ",career
Depth3_112,Potential students that are on a lower income may be put off by the high fees applied to university courses. They maybe more likely to access free courses in order  to achieve similar outcomes ,free
Depth3_106,"Some people really haven't got the money to go to
University even with student loans the debt and interest rate is ridiculous never be able to pay it back especially when you got to earn a certain amount in the first place ",student_finance
Depth3_113,"However they aren't earning enough, and just getting into debt and therefore the government is getting into debt because students cannot pay it back. ",gov_finance
Depth3_121,"Students who graduate most of the time don't even earn or find jobs in their subject that they graduated earning a certain amount does not apply to
Everyone has jobs a very hard to come by ",career
Depth3_131,"The fact that they are repaying vast loans, means that they will not have expendable income, that the economy is dependant upon to thrive - the economy is consumer driven: this will only drive would be consumers out of the system. ",student_finance
Depth3_114,The loan system may make a mistake that will cause issues with economic groups saving up to go to university.,student_finance
Depth3_122,Education can bring people out of lower economic groups but the fees may put them off certain careers ,acc_aff
Depth3_132,"If an individual wishes to become a solicitor or a doctor then university is a must. However, the thought of fees and repayment will deter some.",acc_aff
Depth3_115,"This forces potential students to consider whether they can afford to go to university. This will deprive many people who are capable of achieving great success, simply because they cannot afford it. ",career
Depth3_116,Young people should not feel like they have to study after the age of 18.,acc_aff
Depth3_123,It should be a choice because 9k might be too much to some students yet it has to be paid back ,career
Depth3_124,The fear of the debt burden is often off-putting to people knowing they may be repaying it for so many years. ,student_finance
Depth3_133,"Why should those who contribute back to society such as doctors, nurses and teachers spend years paying back money to contribute to society.",career
Depth3_141,"There are so many graduates now that it is difficult to guarantee getting a good job, also the idea of taking on over 30k of debt as it will include living fees if you haven't identified a job that you want to go into can seem excessive ",career
Depth3_125,"Degrees are needed in many essential, but lower paying fields like teaching or nursing.  If students are pushed to take degrees only in higher paying fields these jobs will never be filled.",career
Depth3_134,"The world needs people qualified in all sorts of fields, it should be lower across the board to allow everyone a fair chance when getting a job.",gov_finance
Depth3_142,Everyone should have a choice about what they do.  Years spent in employment that is not enjoyable will do nothing for one's mental health or well being.  ,career
Depth3_126,"More than enough houses would still be built. If more young people take on degrees and move away from construction jobs, the demand for construction workers would increase. As demand increases, pay would increase too, enticing more people to become construction workers again. ",student_finance
Depth3_135,There are plenty of funding options available. Loans can be taken and repaid when a higher salary is earned. ,student_finance
Depth3_136,Higher education should not be expected. Young people should be educated more on apprenticeships and other avenues where their university funds are paid for ,gov_finance
Depth3_143,That's how taxes work though. We all pay for essential services like the police without necessarily using them directly. ,student_finance
Depth3_144,Too many people go to university without any idea why they are going.  Student loans are hardly ever paid back and encourage people who shouldnt be at university to go.,career
Depth3_151,"Young people will start their adult lives with a debt, which must be paid. Some people will not go to university just to avoid them.",student_finance
Depth3_161,Students might be discouraged due to the steep fee and opt out of higher education.,gov_finance
Depth3_145,"So many people are applying for post graduate jobs that there is no guarantee of getting a ""good"" job after university anyway",career
Depth3_152,"The students may shift their focus towards part-time jobs instead of education and it may result in lower grades, Also, students will have their own expenses to deal with before they can pay debt.",student_finance
Depth3_146,What systems are in place? Even if there are bursaries available this stops as soon as you finish uni and job offers may not come in quickly,career
Depth3_153,"The system has recently abolished the grant scheme aimed at struggling students. In a similar vein, return rate on student loans results in incremental loans for an infinite time horizon making it almost impossible to repay back through a wage job. ",student_finance
Depth3_162,Those systems are only in place to help the very neediest of students - individuals will have to get themselves into a place of extreme financial hardship before they are assisted. These measures should be preventative rather than countermeasures.,gov_finance
Depth3_154,"9k is not enough,  when you consider the amount of knowledge and the earning potential you will get at the end of it",gov_finance
Depth3_163,That's what student loans and bursaries are for. Tuition fees are paid after graduation and so are not an issue.,student_finance
Depth3_155,The students will also have to work part-time and study which may impact their performance,student_finance
Depth3_164,There's also student loans and grants for everyone - students from underprivileged backgrounds get plenty of money to live on.,career
Depth3_156,"Free education will lead for better social life, as everybody will get the chance to gain the high education. ",free
Depth3_165,"It can be good and free, people who cant afford education would like to perform better jobs too, they just do not have an opportunity",acc_aff
Depth3_166,"There are very limited student_finances, to limit lower economic students to being restricted means that the potential of our youth isn't being accessed to its fullness.",student_finance
Depth3_171,Just because it doesnt need repaid immediately doesnt mean it is a good thing - you will end up in debt for the rest of your life if you cant get a job with a very good wage,career
Depth3_181,The weight of the loan is undeniable and once you begin earning above a certain amount you need to begin paying it back despite external pressures,student_finance
Depth3_172,It's impossible to learn earn and live you have to make a choice and sadly children these days can not see a way out unless they get a job and help from parents who barely earn enough themselves ,career
Depth3_182,The loan doesn't cover living or travel expenses and students often end up taking out other loans.,student_finance
Depth3_191,Maybe if the government cared more about the smaller people the correct use for tax payers money will be funded to good use. Rather than boycotting the amount charged for one person to make their lives bettered in education,gov_finance
Depth3_173,A lot of the population today would probably meet the criteria as there are not many who can afford it,acc_aff
Depth3_183,"If everyone will have access to everything, level of education will dropped - because education system will need adjust to level of students.",acc_aff
Depth3_192,"The same should be applied to someone who is financially able to afford it to raise the quality and stature of the degree itself. You devalue the quality of a degree if the barrier for entry is ""Who can pay the most?""",acc_aff
Depth3_174,Having a highly educated workforce will contribute far more to the economy and pay off multiple times over the government tuition expense.,gov_finance
Depth3_184,"This still discourages some students, particularly those from backgrounds who do not want any form of debt. The interest rates also keep rising.",student_finance
Depth3_193,Student loans should be treated as loans to be taken seriously by students. The USAís student loans affect credit score and as a result the US has a higher repayment rate. ,student_finance
Depth3_201,"Well, it doesn't in the UK but the interest rates are quite high and force the student to find a job as fast as possible after graduating, otherwise he/she accumulates more and more interest ",student_finance
Depth3_175,Itís demeaning having to apply for help in order to be at a level playing field in education with those from more affluent backgrounds,acc_aff
Depth3_185,Although there are finance options the amount loaned is often based on parental income not on what they can afford to help subsidise. ,acc_aff
Depth3_194,student_finances are highly selective and often do not cover the whole cost of the degree. loans are only for the tuition fees - if the student moves into another city he/she also needs to pay for rent etc.,student_finance
Depth3_176,"However, they still owe the money and therefore start their working life in debt. ",student_finance
Depth3_186,It would just be unfair on other people who have put in more effort in studies than the people who can afford it but hasn't put in any effort in studies.,acc_aff
Depth3_195,The loan system has scrapped income-based grants for poorer students with higher day-to-day expenses making it almost impossible for them to survive without taking twice as much in loans as their counterparts,student_finance
Depth3_202,"no, you pay it back after a certain salary which is basically if you earn more than the very basic income. Interest rates are high too",student_finance
Depth3_196,Those skillsets are then therefore only readily available to those who can afford to pay for it,acc_aff
Depth3_203,The money provided by jobs employing that skill set could repay that spent money many times over,career
Base_1,the fees mean young people start their working lives with thousands of pounds of debt .,student_finance
Base_3,"they do n't value it because they do n't pay for it , it 's just debt .",student_finance
Base_5,i do n't think students see it as paying their fees as its just a debt they have to pay far in the future .,student_finance
Base_7,it makes being thousands of pounds in debt seem normal to young people .,student_finance
Base_9,universities are using student loans as an easy way to get funding . courses could be a lot more cost effective .,student_finance
Base_24,so why do foreign students come here to study if it 's free in their counties,free
Base_26,my son has the student loan and it barely covers his living cost let alone feeding him,student_finance
Base_29,i think that it is making it difficult for young people to gain further education due to the worry of long term debt,student_finance
Base_30,no i think there is plenty of tax budget that could be used without tax being raised,gov_finance
Base_33,"i think that there should at least be some free further education , much like secondary schools",free
Base_34,perhaps having some free or 'public ' universities and some 'private ' ones would work better like the current school system,free
Base_37,"young people deserve the opportunity to learn for free , government should support this to enable carers to continue . if people are unable to afford university then some jobs may become obsolete such as nurses , social workers etc who need degrees to train",career
Base_42,but people still get into debt with them and owe load sof money back,student_finance
Base_45,we would have a lot more doctors and nurses and professionals available people ca n't afford and worry about the fees,acc_aff
Base_50,most students can claim a student loan not everyone is eligible for it,student_finance
Base_53,"most people ca n't afford the fees to start off with , this means only the well off can send their children to university",acc_aff
Base_54,"nowadays to get a good career , you need he . some students whoever wish to study at university and simply do n't have the means to afford it",acc_aff
Base_55,"the general public shudnt be expected to pay for it , the government should pay for it , or reduce the fees to a minimum so everyone who wants to go , can afford to",gov_finance
Base_56,"not necessarily , those who want to study at university will be forever grateful to the government for this opportunity to study , if you do n't want to study , then there 's no point in going university and wasting government money and your time",gov_finance
Base_57,"no i think your wrong . the fee puts the poorer families at a disadvantage as they ca n't afford to send their children . if they really want to select people going to better universities , the government could increase the points to get into that university/degree",gov_finance
Base_58,"but if this is the case , then the fee shod be a very very minimum amount so that everyone can afford to go",acc_aff
Base_61,"but that student loan debt hangs wirh you , for the rest of your life . most students do n't earn enough to pay it back , and then the interest buklds up , and then it continues , where they can never afford to pay it ofd",student_finance
Base_64,it is the worry about having to pay the loan back after university which discourages them,student_finance
Base_66,"not at all . we all benefit from having an educated population eg doctors , nurses , teachers so it should be paid for from general taxation",gov_finance
Base_68,not at all . a lot of students now do not work hard despite having large loans,student_finance
Base_69,loans encourage inequality in society as more well off families are not intimidated by them as much as poorer families are,student_finance
Base_75,"students are the future generation that will run our country , they do not deserve to be saddled with debt",student_finance
Base_77,tax can be increased elsewhere . politicians could be paid less and receive less bonuses,gov_finance
Base_78,or they will not work and the loan will be written off after a certain amount of time,student_finance
Base_79,the amount many students earn after university is low as there are not enough jobs . therefore they are paying this debt for many years to come,student_finance
Base_80,"i disagree , i went to university in scotland where fees are free and i took university seriously",free
Base_84,but they still need to be paid back . its just more debt on top of the student fees,student_finance
Base_87,we pay enough in taxes already . fees were previously not in place .,gov_finance
Base_91,people can really want to get into university and not be able to afford it nor want the pressure of student loan debt .,student_finance
Base_93,"that 's not at all true . just because it was free would n't mean that the uptake of places had lowered standards . if anything , it would make it a fairer playing field .",free
Base_94,debt that some students do n't have as a concern at all if their parents are wealthy enough to simply for it for them outright .,student_finance
Base_96,i think that if we want people to achieve more and get better jobs then the ability to get a degree education should be free for all . and not be something that only people with more money can get,career
Base_97,"no i do think we should be considering all the other things tax payers pay for that matter less to the economy , for example subsidising dairy farmers cos they cant make enough money because of all the people not drinking cows milk anymore . this would actually help the economy",gov_finance
Base_99,i think that 's false so many people who cant afford to go to university at present have the skills to be at a better uni but cant afford it,acc_aff
Base_102,"well i think its good that they only repay when they are earning quite a lot as that 's what universities are sold as giving the opportunity for , they should help you get more money then you can pay back the debt to tax payers",student_finance
Base_103,"i think to an extent this is a valid point , however im sure there are lots of things the country could cut back on to get the money for unis to be free ... maybe from the rich ?",free
Base_105,diversity is healthy for the students to experience and there is not equal opportunity to repay the loans,student_finance
Base_106,the taxes will be repaid as the better educated citizen is able to command a better salary for 40 years or so,gov_finance
Base_114,what about the ones who can not get a loan or who are put off by the huge level of debt they will be left with . the government has recently sold off a lot of debt which is now being aggressively chased at 6 % interest rates,student_finance
Base_119,"that 's not the argument i was making . if being in debt incentivised people to do better , then people would n't incur gambling debts for instance : )",student_finance
Base_123,i disagree - many people are put off by anything that requires a loan .,student_finance
Base_124,"it is fair to give more help to the financially deprived , but that does n't mean a loan will entice them",student_finance
Base_127,but what if the nation needs more art historians but ca n't afford it ?,acc_aff
Base_128,and what about people who want a better education but ca n't afford or do n't want to go into oxbridge,acc_aff
Base_129,what 's wrong with increasing taxes for education ? we do the same for health or the military,gov_finance
Base_131,the central role of a government is to collect taxes to pay for things that benefit wider society,gov_finance
Base_132,i disagree . a graduate tax is based on ability to pay and does n't require a loan beforehand,gov_finance
Base_135,"what if you do n't have savings , or ca n't get a loan or wo n't get a loan because it puts you in debt ?",student_finance
Base_137,"but it deters the graduate from applying in the first place , and puts pressure on the graduate to get a job",career
Base_138,"if a better job becomes available , but what if society is better off if they do a worse-paid job like charity sector work",career
Base_141,"students leave university with tens of thousands of pounds worth of debt , which loom over them for 10-15 years or more after they leave",student_finance
Base_145,"primary schools are more than just education institutions - they are community centres , support structures , societies of their own . governments cuts threaten way more than just education",gov_finance
Base_146,a large proportion of the population do n't go to university because the fees are enormous and create debt,student_finance
Base_147,that 's rubbish - do high food prices make people take food more seriously ? or do they just buy what they can afford ? education is not a luxury,acc_aff
Base_149,"for some people , it is not an investment but a massive debt hanging over their head",student_finance
Base_152,and you have to break the cycle of the good jobs going to people who have a degree,career
Base_156,well we 've left the eu so that suggestion is moot . and who do you think pays for scholarships ? who is funding those ? the government ? the tax payer ? you 're contradicting your own argument,gov_finance
Base_158,"the general public benefits from people having access to higher education because , at the very least , it increases the overall level of knowledge . when it comes to money , access to higher education should provide a pathway to higher earnings thus an overall gain in tax contributions .",gov_finance
Base_162,"loans lead to additional stress which affects not only the health of students but their ability to perform to the best of their ability . in effect , the stress of having significant amounts of debt results in reduced levels of education - something society definitely should not want .",student_finance
Base_164,"student loans must be paid back , so do count as debt . the only way they would not count as debt is if the government believed graduates would not be able to find employment and if that is the case - the job market must be addressed .",student_finance
Base_165,"the argument that funding for education would take away from funding the nhs is disingenuous . significantly more money from taxes goes towards `` defense '' , so de-funding the military would be one way to find the money to end tuition fees .",gov_finance
Base_166,because we are sending students into debt before they even get a chance to start their career,student_finance
Base_167,people getting higher education is helpful to the economy and the uk as a whole . if people can ‚Äô t afford to be educated on important jobs we ‚Äô re going to lose them and in turn lose out on money .,career
Base_171,these are loans though . things that must be paid back . we are setting people up to begin their lives in crazy amounts of debts,student_finance
Base_172,there ‚Äô s many who waste the space even though paying . the fee also ensures many people don ‚Äô t get given a chance at a better life and more valuable job .,career
Base_173,"and being in debt longer and longer , some people , especially starting out.. live pay check to pay check and even that small amount each month is large to them . you shouldn ‚Äô t have to get into debt for an education .",student_finance
Base_174,"the amounts could be very small , you are still in debt just for an education . what ‚Äô s deemed suitable earning amount for one isn ‚Äô t the same for all .",student_finance
Base_177,their education and qualifications would mean better paying jobs and money would go back into society . we should support further education .,career
Base_178,i think people would value it more because they know that some people have had to pay fees and they 're lucky its free .,free
Base_181,"university is not easy , there are many factors as to why someone chooses to go to uni-being free is probably low down on the list .",free
Base_182,"if most people wo n't ever earn enough to pay their student loan back , why have it in the first place ?",student_finance
Base_193,"no , we are going to work and will eventually pay taxes ourselves . i would rather my money when i pay tax go towards something meaningful other than the government",gov_finance
Base_196,"yes that is fair enough , but when fees were free it was better for the young people",free
Base_197,"i think if it were free , less people would attend . this was proven when fees were free , i think the universities just need to be more selective with their students not fees",free
Base_198,yes that 's very true just still annoying to have so much debt,student_finance
Base_199,the nhs could not get much worse ! the government just need to spend money wisely and this would be wise,gov_finance
Base_201,"once student graduate , they will likely be earning higher income and hence more tax",gov_finance
Base_211,and if there to tired from trying to source other ways to pay back the loan then they might not be concentrating on there studies as much as they could,student_finance
Base_212,because it should not be a case of getting into debt to better yourself its not fair or right,student_finance
Base_214,and if they dont want to get into debt before they even have a career they just have to get on with it,student_finance
Base_217,even still not great to start adulthood with huge loans over your head,student_finance
Base_219,a debt is still a debt if its owed its a debt,student_finance
Base_220,i feel that education shoudl be free for all in this country,free
Base_221,"no . the nation as a whole benifits from people gaining higher education , by better jobs , better pay , and then more taxation",career
Base_222,"i stand by what i say , free education for all . we all benefit from it . education leads to better social care , a healthier country , its a win win for everyone .",free
Base_223,"but these loans have to be repaid , and are getting more expensive . sadly the people who are making modern students pay for education all received free education themselves . many of them are from wealthy backgrounds , and are now expecting poorer people to pay for what thye received for free .",free
